"Date","White Ball 1","White Ball 2","White Ball 3","White Ball 4","White Ball 5","Powerball","White Ball Sum","White Ball Mean","Jackpot (Annuity)","Day Of Week","Ascendant Sign","Ascendant Deg","Moon Illum %","Moon Phase","Moon Nakshatra","Moon Nakshatra (ML)","Nakshatra No","Pada","Sun Sign","Sun Deg","Sun House","Sun Dignity","Moon Sign","Moon Deg","Moon House","Moon Dignity","Mercury Sign","Mercury Deg","Mercury House","Mercury Dignity","Venus Sign","Venus Deg","Venus House","Venus Dignity","Mars Sign","Mars Deg","Mars House","Mars Dignity","Jupiter Sign","Jupiter Deg","Jupiter House","Jupiter Dignity","Saturn Sign","Saturn Deg","Saturn House","Saturn Dignity","Rahu Sign","Rahu Deg","Rahu House","Rahu Dignity"
"2026-04-04","3","6","13","41","65","1","128","25.6","","Saturday","Scorpio","1","91","Waning","Vishakha","വിശാഖം","16","2","Pisces","21","5","","Libra","25","12","","Aquarius","23","4","","Aries","12","6","","Pisces","2","5","","Gemini","22","8","","Pisces","12","5","","Aquarius","14","4",""
"2026-04-01","4","10","11","52","64","24","141","28.2","","Wednesday","Libra","28","100","Waning","Hasta","അത്തം","13","3","Pisces","18","6","","Virgo","19","12","","Aquarius","20","5","","Aries","9","7","","Pisces","0","5","","Gemini","22","9","","Pisces","11","6","","Aquarius","14","5",""
"2026-03-30","7","11","31","41","57","20","147","29.4","","Monday","Libra","26","96","Waxing","Purva Phalguni","പൂരം","11","3","Pisces","16","6","","Leo","23","11","","Aquarius","19","5","","Aries","6","7","","Aquarius","28","5","","Gemini","21","9","","Pisces","11","6","","Aquarius","15","5",""
"2026-03-28","11","42","43","59","61","25","216","43.2","","Saturday","Libra","25","84","Waxing","Ashlesha","ആയില്യം","9","3","Pisces","14","6","","Cancer","27","10","","Aquarius","17","5","","Aries","4","7","","Aquarius","27","5","","Gemini","21","9","","Pisces","11","6","","Aquarius","15","5",""
"2026-03-25","7","21","55","56","64","26","203","40.6","","Wednesday","Libra","22","54","Waxing","Ardra","തിരുവാതിര","6","3","Pisces","11","6","","Gemini","15","9","","Aquarius","16","5","","Aries","0","7","","Aquarius","24","5","","Gemini","21","9","","Pisces","11","6","","Aquarius","14","5",""
"2026-03-23","12","18","47","56","63","1","196","39.2","","Monday","Libra","21","31","Waxing","Rohini","രോഹിണി","4","3","Pisces","9","6","","Taurus","17","8","EXALTED","Aquarius","15","5","","Pisces","28","6","EXALTED","Aquarius","23","5","","Gemini","21","9","","Pisces","10","6","","Aquarius","15","5",""
"2026-03-21","12","28","36","41","59","2","176","35.2","","Saturday","Libra","19","12","Waxing","Bharani","ഭരണി","2","2","Pisces","7","6","","Aries","18","7","","Aquarius","14","5","","Pisces","25","6","EXALTED","Aquarius","21","5","","Gemini","21","9","","Pisces","10","6","","Aquarius","15","5",""
"2026-03-18","14","18","19","21","69","1","141","28.2","","Wednesday","Libra","17","0","Waxing","Uttara Bhadrapada","ഉത്രട്ടാതി","26","1","Pisces","4","6","","Pisces","5","6","","Aquarius","14","5","","Pisces","22","6","EXALTED","Aquarius","19","5","","Gemini","21","9","","Pisces","10","6","","Aquarius","15","5",""
"2026-03-16","7","10","20","47","52","20","136","27.2","","Monday","Libra","15","5","Waning","Shatabhisha","ചതയം","24","1","Pisces","2","6","","Aquarius","8","5","","Aquarius","15","5","","Pisces","19","6","EXALTED","Aquarius","17","5","","Gemini","21","9","","Pisces","9","6","","Aquarius","15","5",""
"2026-03-14","9","30","42","50","52","21","183","36.6","","Saturday","Libra","13","17","Waning","Shravana","തിരുവോണം","22","1","Pisces","0","6","","Capricorn","12","4","","Aquarius","16","5","","Pisces","17","6","EXALTED","Aquarius","16","5","","Gemini","21","9","","Pisces","9","6","","Aquarius","15","5",""
